timestamp,location_id,bin_id,bin_type,location_type,predicted_waste_volume,event_flag,event_intensity,bin_capacity,pickup_frequency,alt_bin_distance,signage_strength,crowdedness,expected_fill,overflow_risk,p_contam_true_latent,contam_true,contam_pct_true
2025-01-01,Dining Hall A,Dining_Hall_A_bin_1,food,dining,4816.331152343751,0,0,53,2,13.161772958847973,0,0.9658757773615395,49.98079497715213,48.98079497715213,0.95,1,0.9341878703828208
2025-01-01,Dining Hall A,Dining_Hall_A_bin_2,recycle,dining,4816.331152343751,0,0,60,3,6.820374315023556,1,1.2933350322514738,20.06804646809896,19.06804646809896,0.95,1,0.9733754671126023
2025-01-01,Dining Hall A,Dining_Hall_A_bin_3,landfill,dining,4816.331152343751,0,0,48,2,2.8296243293542793,2,1.1940088906816497,20.06804646809896,19.06804646809896,0.95,1,1.0
2025-01-01,Dining Hall A,Dining_Hall_A_bin_4,food,dining,4816.331152343751,0,0,83,3,4.5303032020755785,2,1.2638771022664017,31.915447395048954,30.915447395048954,0.95,1,0.971541050150394
2025-01-01,Dining Hall B,Dining_Hall_B_bin_1,food,dining,4260.600634765625,0,0,86,3,6.235729655795975,2,1.2739175307090596,27.248027315361558,26.248027315361558,0.95,1,0.9079921761518736
2025-01-01,Dining Hall B,Dining_Hall_B_bin_2,recycle,dining,4260.600634765625,0,0,53,2,7.6829749453403,2,1.2651785121966233,20.09717280549823,19.09717280549823,0.95,1,0.9558342904570364
2025-01-01,Dining Hall B,Dining_Hall_B_bin_3,landfill,dining,4260.600634765625,0,0,54,3,3.8167822869210273,2,1.208109488338667,15.780002350983796,14.780002350983796,0.95,1,0.8771422090072166
2025-01-01,Dining Hall B,Dining_Hall_B_bin_4,food,dining,4260.600634765625,0,0,57,2,9.393635547387618,1,1.166982929852798,41.111058756510424,40.111058756510424,0.95,1,0.998413917729574
2025-01-01,Dorm North,Dorm_North_bin_1,food,dorm,2963.89609375,0,0,84,3,10.25133816000768,1,1.0711226579792854,19.406462518601195,18.406462518601195,0.95,1,0.9268824103667715
2025-01-01,Dorm North,Dorm_North_bin_2,recycle,dorm,2963.89609375,0,0,79,1,13.09423995248616,1,0.8866712785996519,9.379418018196203,8.379418018196203,0.95,1,0.9571212868035283
2025-01-01,Dorm North,Dorm_North_bin_3,landfill,dorm,2963.89609375,0,0,50,2,12.190676718383376,2,0.9690653460279761,11.855584375000001,10.855584375000001,0.95,1,0.9318473076717464
2025-01-01,Dorm South,Dorm_South_bin_1,food,dorm,2778.652587890625,0,0,76,3,8.004403993268035,2,0.9530597659797276,20.108670043945313,19.108670043945313,0.95,1,0.9723265588014972
2025-01-01,Dorm South,Dorm_South_bin_2,recycle,dorm,2778.652587890625,0,0,57,2,5.919657158922394,2,0.831266556604197,12.18707275390625,11.18707275390625,0.95,1,0.9001376586199259
2025-01-01,Dorm South,Dorm_South_bin_3,landfill,dorm,2778.652587890625,0,0,81,2,5.456309498973754,2,1.1299228297786066,6.86087058738426,5.86087058738426,0.7508042496841808,1,0.7041233656836869
2025-01-01,Academic Center,Academic_Center_bin_1,food,academic,2222.9220703124997,0,0,79,1,13.733831155069941,0,0.8272679576807651,15.476039730023734,14.476039730023734,0.95,1,0.9202925022151602
2025-01-01,Academic Center,Academic_Center_bin_2,recycle,academic,2222.9220703124997,0,0,58,1,11.353018427362178,2,1.0232676211354703,9.581560647898705,8.581560647898705,0.95,1,0.9380322186263488
2025-01-01,Academic Center,Academic_Center_bin_3,landfill,academic,2222.9220703124997,0,0,75,2,2.540984260204602,0,1.083511124591458,5.9277921875,4.9277921875,0.6905111418085005,1,0.631072989092358
2025-01-01,Student Union,Student_Union_bin_1,food,academic,3334.3831054687503,0,0,69,1,9.553794816105135,2,0.8623313852443691,26.578416058084244,25.578416058084244,0.95,1,0.8764596852748671
